Date,Day,Cases,Deaths,Recovered,Contagious
2019-12-31,1,1,0,0.0,0
2020-01-01,2,2,0,0.0,1
2020-01-02,3,2,0,0.0,0
2020-01-03,4,4,0,0.0,2
2020-01-04,5,4,0,0.0,0
2020-01-05,6,6,0,0.0,2
2020-01-06,7,8,0,0.0,2
2020-01-07,8,12,0,0.0,4
2020-01-08,9,16,0,0.0,4
2020-01-09,10,25,0,0.0,9
2020-01-10,11,32,0,0.0,7
2020-01-11,12,36,0,0.0,4
2020-01-12,13,39,0,0.0,3
2020-01-13,14,41,0,0.0,2
2020-01-14,15,45,0,0.0,4
2020-01-15,16,55,0,0.0,10
2020-01-16,17,70,0,0.0,15
2020-01-17,18,90,0,0.0,20
2020-01-18,19,130,0,0.0,40
2020-01-19,20,190,0,0.0,60
2020-01-20,21,260,0,0.0,70
2020-01-21,22,450,0,0.0,190
2020-01-22,23,548,17,,98
2020-01-23,24,643,18,,95
2020-01-24,25,920,26,,277
2020-01-25,26,1406,42,,486
2020-01-26,27,2075,56,,669
2020-01-27,28,2877,82,,802
2020-01-28,29,5509,131,,2632
2020-01-29,30,6087,133,,578
2020-01-30,31,8141,171,,2054
2020-01-31,32,9802,213,,1661
2020-02-01,33,11891,259,,2089
2020-02-02,34,16630,361,,4739
2020-02-03,35,19716,425,,3086
2020-02-04,36,23707,491,,3991
2020-02-05,37,27440,563,,3733
2020-02-06,38,30587,633,,3147
2020-02-07,39,34110,718,,3523
2020-02-08,40,36814,805,,2704
2020-02-09,41,39829,905,,3015
2020-02-10,42,42354,1012,,2525
2020-02-11,43,44386,1112,,2032
2020-02-12,44,44759,1117,,373
2020-02-13,45,59895,1369,,15136
2020-02-14,46,66358,1521,,6463
2020-02-15,47,68413,1663,,2055
2020-02-16,48,70513,1766,,2100
2020-02-17,49,72434,1864,,1921
2020-02-18,50,74211,2003,,1777
2020-02-19,51,74619,2116,,408
2020-02-20,52,75077,2238,,458
2020-02-21,53,75550,2238,,473
2020-02-22,54,77001,2443,,1451
2020-02-23,55,77022,2445,,21
2020-02-24,56,77241,2595,,219
2020-02-25,57,77754,2665,,513
2020-02-26,58,78166,2717,,412
2020-02-27,59,78600,2746,,434
2020-02-28,60,78928,2790,,328
2020-02-29,61,79356,2837,,428
2020-03-01,62,79932,2872,,576
2020-03-02,63,80136,2914,,204
2020-03-03,64,80261,2947,,125
2020-03-04,65,80386,2983,,125
2020-03-05,66,80537,3015,,151
2020-03-06,67,80690,3044,,153
2020-03-07,68,80770,3072,,80
2020-03-08,69,80823,3100,,53
2020-03-09,70,80860,3123,,37
2020-03-10,71,80887,3139,,27
2020-03-11,72,80921,3161,,34
2020-03-12,73,80932,3172,,11
2020-03-13,74,80945,3180,,13
2020-03-14,75,80977,3193,,32
2020-03-15,76,81003,3203,,26
2020-03-16,77,81033,3217,,30
2020-03-17,78,81058,3230,,25
2020-03-18,79,81102,3241,,44
2020-03-19,80,81156,3249,,54
2020-03-20,81,81250,3253,,94
2020-03-21,82,81305,3259,,55
2020-03-22,83,81435,3274,,130
2020-03-23,84,81498,3274,,63
2020-03-24,85,81591,3281,,93
2020-03-25,86,81661,3285,,70
2020-03-26,87,81782,3291,,121
