Date,Day,Cases,Deaths,Recovered,Contagious
2020-01-31,1,2,0,,2
2020-02-01,2,2,0,,0
2020-02-02,3,2,0,,0
2020-02-03,4,2,0,,0
2020-02-04,5,2,0,,0
2020-02-05,6,2,0,,0
2020-02-06,7,2,0,,0
2020-02-07,8,3,0,,1
2020-02-08,9,3,0,,0
2020-02-09,10,3,0,,0
2020-02-10,11,3,0,,0
2020-02-11,12,3,0,,0
2020-02-12,13,3,0,,0
2020-02-13,14,3,0,,0
2020-02-14,15,3,0,,0
2020-02-15,16,3,0,,0
2020-02-16,17,3,0,,0
2020-02-17,18,3,0,,0
2020-02-18,19,3,0,,0
2020-02-19,20,3,0,,0
2020-02-20,21,3,0,,0
2020-02-21,22,20,1,,17
2020-02-22,23,62,2,,42
2020-02-23,24,155,3,,93
2020-02-24,25,229,7,,74
2020-02-25,26,322,10,,93
2020-02-26,27,453,12,,131
2020-02-27,28,655,17,,202
2020-02-28,29,888,21,,233
2020-02-29,30,1128,29,,240
2020-03-01,31,1694,34,,566
2020-03-02,32,2036,52,,342
2020-03-03,33,2502,79,,466
2020-03-04,34,3089,107,,587
2020-03-05,35,3858,148,,769
2020-03-06,36,4636,197,,778
2020-03-07,37,5883,233,,1247
2020-03-08,38,7375,366,,1492
2020-03-09,39,9172,463,,1797
2020-03-10,40,10149,631,,977
2020-03-11,41,12462,827,,2313
2020-03-12,42,12462,827,,0
2020-03-13,43,17660,1266,,5198
2020-03-14,44,21157,1441,,3497
2020-03-15,45,24747,1809,,3590
2020-03-16,46,27980,2158,,3233
2020-03-17,47,31506,2503,,3526
2020-03-18,48,35713,2978,,4207
2020-03-19,49,41035,3405,,5322
2020-03-20,50,47021,4032,,5986
2020-03-21,51,53578,4825,,6557
2020-03-22,52,59138,5476,,5560
2020-03-23,53,63927,6077,,4789
2020-03-24,54,69176,6820,,5249
2020-03-25,55,74386,7503,,5210
2020-03-26,56,80589,8215,,6203
2020-03-27,57,86498,9134,,5909
2020-03-28,58,92472,10023,,5974
2020-03-29,59,97689,10779,,5217
2020-03-30,60,101739,11591,,4050
