Date,Day,Cases,Deaths,Recovered,Contagious
2020-01-22,1,2,0,,0
2020-01-23,2,2,0,,0
2020-01-24,3,2,0,,0
2020-01-25,4,2,0,,0
2020-01-26,5,4,0,,2
2020-01-27,6,4,0,,0
2020-01-28,7,7,0,,3
2020-01-29,8,7,0,,0
2020-01-30,9,11,0,,4
2020-01-31,10,15,0,,4
2020-02-01,11,20,0,,5
2020-02-02,12,20,0,,0
2020-02-03,13,20,0,,0
2020-02-04,14,22,0,,2
2020-02-05,15,22,0,,0
2020-02-06,16,22,0,,0
2020-02-07,17,25,0,,3
2020-02-08,18,25,0,,0
2020-02-09,19,26,0,,1
2020-02-10,20,26,0,,0
2020-02-11,21,26,0,,0
2020-02-12,22,28,0,,2
2020-02-13,23,28,1,,0
2020-02-14,24,29,1,,1
2020-02-15,25,43,1,,14
2020-02-16,26,59,1,,16
2020-02-17,27,66,1,,7
2020-02-18,28,74,1,,8
2020-02-19,29,84,1,,10
2020-02-20,30,94,1,,10
2020-02-21,31,105,1,,11
2020-02-22,32,122,1,,17
2020-02-23,33,147,1,,25
2020-02-24,34,159,1,,12
2020-02-25,35,170,1,,11
2020-02-26,36,189,2,,19
2020-02-27,37,214,4,,25
2020-02-28,38,228,4,,14
2020-02-29,39,241,5,,13
2020-03-01,40,256,6,,15
2020-03-02,41,274,6,,18
2020-03-03,42,293,6,,19
2020-03-04,43,331,6,,38
2020-03-05,44,360,6,,29
2020-03-06,45,420,6,,60
2020-03-07,46,461,6,,41
2020-03-08,47,502,6,,41
2020-03-09,48,511,10,,9
2020-03-10,49,581,10,,70
2020-03-11,50,639,15,,58
2020-03-12,51,639,16,,0
2020-03-13,52,701,19,,62
2020-03-14,53,773,22,,72
2020-03-15,54,839,22,,66
2020-03-16,55,839,27,,0
2020-03-17,56,878,29,,39
2020-03-18,57,889,29,,11
2020-03-19,58,924,29,,35
2020-03-20,59,963,33,,39
2020-03-21,60,1007,35,,44
2020-03-22,61,1101,41,,94
2020-03-23,62,1128,42,,27
2020-03-24,63,1193,43,,65
2020-03-25,64,1307,45,,114
2020-03-26,65,1387,47,,80
2020-03-27,66,1468,49,,81
2020-03-28,67,1693,52,,225
2020-03-29,68,1866,54,,173
