Date,Day,Cases,Deaths,Recovered,Contagious
2020-01-22,1,1,0,,0
2020-01-23,2,1,0,,0
2020-01-24,3,2,0,,1
2020-01-25,4,2,0,,0
2020-01-26,5,5,0,,3
2020-01-27,6,5,0,,0
2020-01-28,7,5,0,,0
2020-01-29,8,5,0,,0
2020-01-30,9,5,0,,0
2020-01-31,10,7,0,,2
2020-02-01,11,8,0,,1
2020-02-02,12,8,0,,0
2020-02-03,13,11,0,,3
2020-02-04,14,11,0,,0
2020-02-05,15,11,0,,0
2020-02-06,16,11,0,,0
2020-02-07,17,11,0,,0
2020-02-08,18,11,0,,0
2020-02-09,19,11,0,,0
2020-02-10,20,11,0,,0
2020-02-11,21,12,0,,1
2020-02-12,22,12,0,,0
2020-02-13,23,13,0,,1
2020-02-14,24,13,0,,0
2020-02-15,25,13,0,,0
2020-02-16,26,13,0,,0
2020-02-17,27,13,0,,0
2020-02-18,28,13,0,,0
2020-02-19,29,13,0,,0
2020-02-20,30,13,0,,0
2020-02-21,31,15,0,,2
2020-02-22,32,15,0,,0
2020-02-23,33,15,0,,0
2020-02-24,34,51,0,,36
2020-02-25,35,51,0,,0
2020-02-26,36,57,0,,6
2020-02-27,37,58,0,,1
2020-02-28,38,60,0,,2
2020-02-29,39,68,1,,8
2020-03-01,40,74,1,,6
2020-03-02,41,98,6,,24
2020-03-03,42,118,7,,20
2020-03-04,43,149,11,,31
2020-03-05,44,217,12,,68
2020-03-06,45,262,14,,45
2020-03-07,46,402,17,,140
2020-03-08,47,518,21,,116
2020-03-09,48,583,22,,65
2020-03-10,49,959,28,,376
2020-03-11,50,1281,36,,322
2020-03-12,51,1663,40,,382
2020-03-13,52,2179,47,,516
2020-03-14,53,2727,54,,548
2020-03-15,54,3499,63,,772
2020-03-16,55,4632,85,,1133
2020-03-17,56,6421,108,,1789
2020-03-18,57,7783,118,,1362
2020-03-19,58,13677,200,,5894
2020-03-20,59,19100,244,,5423
2020-03-21,60,25489,307,,6389
2020-03-22,61,33276,417,,7787
2020-03-23,62,43847,557,,10571
2020-03-24,63,53740,706,,9893
2020-03-25,64,65778,942,,12038
2020-03-26,65,83836,1209,,18058
2020-03-27,66,101657,1581,,17821
2020-03-28,67,121478,2026,,19821
